date Mon Dec 30 08:05:50.219 pm 2019
base hex  timestamps absolute
no internal events logged
// version 12.0.0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch16::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M6_Ch16::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch16::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch16::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch16::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M6_Ch16::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch16::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch16::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch15::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M6_Ch15::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch15::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch15::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch15::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M6_Ch15::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch15::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch15::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch14::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M6_Ch14::DigitalOutput = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch14::RelayBusBar = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch14::RelayGnd = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch14::PWMOutputFreq = 10
   0.000000    SV: 2 0 1 ::VTS::M6_Ch14::RelayVBatt = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch14::RelayLoadResistor = 0
   0.000000    SV: 2 0 1 ::VTS::M6_Ch14::RelayOrgComponent = 0
   0.000000    SV: 1 0 1 ::VTS::M6_Ch13::PWMOutputDC = 50
   0.000000    SV: 2 0 1 ::VTS::M6_Ch13::DigitalOutput = 0
